level,touches_h1,last_touch,days_not_returned
1161.0,1,2018-08-16 00:00:00+00:00,2924.3
1162.0,1,2018-08-16 00:00:00+00:00,2924.3
1163.0,1,2018-08-16 00:00:00+00:00,2924.3
1164.0,2,2018-08-16 01:00:00+00:00,2924.3
1165.0,2,2018-08-16 01:00:00+00:00,2924.3
1166.0,2,2018-08-16 01:00:00+00:00,2924.3
1167.0,2,2018-08-16 01:00:00+00:00,2924.3
1168.0,2,2018-08-16 01:00:00+00:00,2924.3
1169.0,2,2018-08-16 01:00:00+00:00,2924.3
1170.0,3,2018-08-16 02:00:00+00:00,2924.2
1171.0,3,2018-08-16 03:00:00+00:00,2924.2
1172.0,5,2018-08-17 00:00:00+00:00,2923.3
1173.0,4,2018-08-17 00:00:00+00:00,2923.3
1174.0,12,2018-08-17 07:00:00+00:00,2923.0
1175.0,16,2018-08-17 07:00:00+00:00,2923.0
1176.0,19,2018-08-17 12:00:00+00:00,2922.8
1177.0,25,2018-08-17 17:00:00+00:00,2922.6
1178.0,17,2018-08-17 18:00:00+00:00,2922.6
1179.0,19,2018-08-17 18:00:00+00:00,2922.6
1180.0,11,2018-08-17 18:00:00+00:00,2922.6
1181.0,10,2018-09-28 07:00:00+00:00,2881.0
1182.0,7,2018-09-28 11:00:00+00:00,2880.8
1183.0,19,2018-10-08 15:00:00+00:00,2870.7
1184.0,26,2018-10-09 13:00:00+00:00,2869.8
1185.0,30,2018-10-09 13:00:00+00:00,2869.8
1186.0,42,2018-10-10 12:00:00+00:00,2868.8
1187.0,55,2018-10-10 14:00:00+00:00,2868.7
1188.0,54,2018-10-10 15:00:00+00:00,2868.7
1189.0,63,2018-10-10 16:00:00+00:00,2868.6
1190.0,62,2018-10-10 17:00:00+00:00,2868.6
1191.0,52,2018-10-10 18:00:00+00:00,2868.6
1192.0,62,2018-10-11 06:00:00+00:00,2868.1
1193.0,73,2018-10-11 06:00:00+00:00,2868.1
1194.0,113,2018-10-11 07:00:00+00:00,2868.0
1195.0,112,2018-10-11 07:00:00+00:00,2868.0
1196.0,118,2018-10-11 07:00:00+00:00,2868.0
1197.0,98,2018-11-13 10:00:00+00:00,2834.9
1198.0,100,2018-11-14 10:00:00+00:00,2833.9
1199.0,125,2018-11-14 14:00:00+00:00,2833.7
1200.0,113,2018-11-14 14:00:00+00:00,2833.7
1201.0,122,2018-11-14 15:00:00+00:00,2833.7
1202.0,124,2018-11-14 16:00:00+00:00,2833.6
1203.0,130,2018-11-14 17:00:00+00:00,2833.6
1204.0,116,2018-11-14 17:00:00+00:00,2833.6
1205.0,90,2018-11-14 17:00:00+00:00,2833.6
1206.0,85,2018-11-14 17:00:00+00:00,2833.6
1207.0,67,2018-11-14 17:00:00+00:00,2833.6
1208.0,66,2018-11-15 13:00:00+00:00,2832.8
1209.0,73,2018-11-15 13:00:00+00:00,2832.8
1210.0,77,2018-11-15 13:00:00+00:00,2832.8
1211.0,91,2018-11-15 13:00:00+00:00,2832.8
1212.0,99,2018-11-28 15:00:00+00:00,2819.7
1213.0,90,2018-11-28 16:00:00+00:00,2819.6
1214.0,90,2018-11-28 17:00:00+00:00,2819.6
1215.0,84,2018-11-28 17:00:00+00:00,2819.6
1216.0,71,2018-11-28 17:00:00+00:00,2819.6
1217.0,78,2018-11-30 15:00:00+00:00,2817.7
1218.0,90,2018-11-30 15:00:00+00:00,2817.7
1219.0,111,2018-11-30 16:00:00+00:00,2817.6
1220.0,125,2018-11-30 18:00:00+00:00,2817.6
1221.0,164,2018-11-30 20:00:00+00:00,2817.5
1222.0,212,2018-12-03 00:00:00+00:00,2815.3
1223.0,249,2018-12-03 01:00:00+00:00,2815.3
